Religious,#genre#
CETV2_(576p),http://117.161.133.51:81/gitv_live/G_CETV-2/G_CETV-2.m3u8?p=GITV
Channel_Law,http://49.113.179.174:4022/udp/238.125.2.201:5140
Shandong_Education_TV,http://49.113.179.174:4022/udp/238.125.0.156:5140
江苏教育_(576p),http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225923/index.m3u8

Documentary,#genre#
CCTV_兵器科技,http://117.161.133.51:81/gitv_live/G_BINGQIKJ-CQ/G_BINGQIKJ-CQ.m3u8?p=GITV
CETV-4,http://49.113.179.174:4022/udp/238.125.3.92:5140
发现之旅_(576p),http://125.210.152.18:9090/live/FXZL_750.m3u8

Sports,#genre#
CCTV_央视台球,http://117.161.133.51:81/gitv_live/G_TAIQIU-CQ/G_TAIQIU-CQ.m3u8?p=GITV
CCTV_风云足球,http://117.161.133.51:81/gitv_live/G_FENGSHANGZQ-CQ/G_FENGSHANGZQ-CQ.m3u8?p=GITV
CCTV-5体育_(1080p),http://1.85.0.62:808/hls/503/index.m3u8
Game_Channel,http://49.113.179.174:4022/udp/238.125.1.36:5140
SMG_Football_Channel,http://49.113.179.174:4022/udp/238.125.2.142:5140
山东体育_(1080p),http://livealone302.iqilu.com/iqilu/typd.m3u8
江苏体育_(576p),http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY

Lifestyle,#genre#
CCTV_女性时尚,http://117.161.133.51:81/gitv_live/G_NVXINGSS-CQ/G_NVXINGSS-CQ.m3u8?p=GITV
Jilin_City_Channel,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/7e8474e6daea44ccaa5aa2300191439e/index.m3u8
Jilin_Lifestyle_Channel,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/0a76740c72b74fabae611845aa21e06a/index.m3u8
QTV-2,http://video10.qtv.com.cn/drm/qtv2at/manifest.m3u8
Weihai_Ocean_Channel,http://l2.weihai.tv:8081/hls/x8b19NoyEG.m3u8
长沙女性,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_349.m3u8

Movies,#genre#
CCTV_第一剧场,http://117.161.133.51:81/gitv_live/G_DIYIJC-CQ/G_DIYIJC-CQ.m3u8?p=GITV
CCTV_风云剧场,http://117.161.133.51:81/gitv_live/G_FENGYUNJC-CQ/G_FENGYUNJC-CQ.m3u8?p=GITV
CCTV-6电影_(1080p),http://1.85.0.62:808/hls/6/index.m3u8
CHC_Action,http://180.213.174.225:9901/tsfile/live/1027_1.m3u8?authid=0&key=txiptv&playlive=1
Harbin_Movie_Channel,https://stream.hrbtv.net/yspd/playlist.m3u8
Jiangxi_Movie_Channel,https://play-live-hls.jxtvcn.com.cn/live-city/tv_jxtv4.m3u8
Jilin_Movie_Channel,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/906341e6f19b4c4bacdc89941eb85d12/index.m3u8
QTV-3,http://video10.qtv.com.cn/drm/qtv3at/manifest.m3u8
江苏影视_(576p),http://223.110.243.134/PLTV/4/224/3221225937/index.m3u8

News,#genre#
CCTV+_1_(600p)_[Not_24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+_2_(600p)_[Not_24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV-13新闻_(1080p),https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
Nei_Monggol_TV_News_Channel,http://play1-qk.nmtv.cn/live/1686560423879174.m3u8
NHK_Chinese_Vision_(720p),https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
Panzihihua_News_Channel,https://live.pzhkai.com/xwzhtl/sd/live.m3u8?_upt=6a1ad5741729836768
QTV-1,http://video10.qtv.com.cn/drm/qtv1at/manifest.m3u8
Tonghua_TV,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/43ea5771aa44421591f9dfd2b71f1b9b/index.m3u8
Weihai_Comprehensive_News_Channel,http://l1.weihai.tv:8081/hls/969O76hb22.m3u8
滁州市广播电视台_新闻综合频道_(1080p),http://live.cztv.cc:85/live/xwpd.m3u8
萍乡新闻综合_(576p)_[Not_24/7],http://www.pxitv.com:8099/hls-live/livepkgr/_definst_/pxitvevent/pxtv1stream.m3u8
酒泉新闻综合_(576p),http://117.156.28.119/270000001111/1110000001/index.m3u8
长沙新闻,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_346.m3u8
鹤壁新闻综合_(480p)_[Not_24/7],http://pili-live-hls.hebitv.com/hebi/hebi.m3u8

Entertainment,#genre#
City_Theater_Channel,http://49.113.179.174:4022/udp/238.125.1.60:5140
Hunan_Entertainment_Channel,http://1732e975z9.zicp.fun:8082/hls/20/index.m3u8
Nei_Monggol_TV_Culture_Entertainment_Channel,http://play1-qk.nmtv.cn/live/1686561195713372.m3u8
Panzihihua_Culture_Tourism_&_Life_Channel,https://live.pzhkai.com/wlshtl/sd/live.m3u8?_upt=f156a1051729836828
宁夏卫视_(576p),http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
江苏综艺_(576p)_[Not_24/7],http://183.207.248.71/gitv/live1/G_JSZY/G_JSZY

Education;Lifestyle;Science,#genre#
Jilin_Rural_Channel,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/3ffc4824dce54b92be185555923ce382/index.m3u8

Comedy,#genre#
Laughter_Theater,http://49.113.179.174:4022/udp/238.125.2.159:5140

Culture,#genre#
Nei_Monggol_TV_2_Mongolian_Culture_Channel,http://1.183.141.194:8001/hls/54/index.m3u8
Nei_Monggol_TV_Agriculture_&_Animal_Channel,http://play1-qk.nmtv.cn/live/1686561299036179.m3u8

Kids;Lifestyle,#genre#
QTV-6,http://video10.qtv.com.cn/drm/qtv6at/manifest.m3u8

Culture;Education,#genre#
Shanghai_Education_Television_Station,http://223.166.234.114:7777/tsfile/live/1033_1.m3u8

Outdoor,#genre#
Sihai_Fishing_Channel,http://49.113.179.174:4022/udp/238.125.2.172:5140

General;News,#genre#
STV_News_and_General,http://61.173.144.157:9901/tsfile/live/1000_1.m3u8?authid=0&key=txiptv&playlive=1

Shop,#genre#
Ugo_Shop_TV,http://49.113.179.174:4022/udp/238.125.4.184:5140
风尚购物_(1080p),http://183.207.248.71/cntv/live1/fengshanggw/fengshanggw

Weather,#genre#
中国气象_(576p)_[Not_24/7],http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

Family,#genre#
四川妇女儿童_(720p)_[Not_24/7],http://scgctvshow.sctv.com/hdlive/sctv7/index.m3u8

Science,#genre#
山东农科_(406p),http://livealone302.iqilu.com/iqilu/nkpd.m3u8

Legislative,#genre#
长沙政法,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_348.m3u8
